iter	Passed	Remaining
0	11	1115
1	24	1194
2	27	895
3	41	984
4	52	990
5	62	983
6	73	975
7	84	969
8	85	868
9	95	860
10	104	848
11	105	776
12	114	766
13	123	757
14	125	712
15	134	705
16	135	661
17	136	621
18	144	618
19	153	614
20	154	580
21	156	556
22	165	554
23	168	532
24	176	529
25	179	510
26	184	498
27	193	497
28	196	480
29	201	469
30	204	454
31	213	452
32	222	451
33	231	448
34	233	434
35	236	420
36	245	418
37	247	403
38	252	394
39	253	379
40	262	377
41	267	369
42	276	366
43	285	362
44	293	358
45	302	354
46	310	350
47	319	345
48	327	340
49	336	336
50	338	325
51	339	313
52	348	309
53	357	304
54	365	299
55	374	294
56	382	288
57	384	278
58	386	268
59	395	263
60	403	258
61	412	252
62	414	243
63	423	238
64	432	232
65	432	222
66	437	215
67	438	206
68	442	198
69	451	193
70	452	184
71	456	177
72	465	172
73	467	164
74	475	158
75	484	152
76	492	147
77	501	141
78	509	135
79	518	129
80	520	122
81	529	116
82	537	110
83	546	104
84	554	97
85	563	91
86	572	85
87	580	79
88	588	72
89	597	66
90	602	59
91	610	53
92	619	46
93	619	39
94	621	32
95	630	26
96	638	19
97	647	13
98	655	6
99	664	0
